Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-1.067714755260188442e+00,-1.007987021279497952e+01,-3.042935794417482498e+01,-1.788972991261421086e+01,2.261841011496426301e-01,4.570955009163459870e+00,0.000000000000000000e+00,-1.668658923480028378e+01,-2.098005482391196352e+01,-1.386073535073694707e+01
-1.024746831132610758e+01,-1.210003986415306443e+01,-2.517364728473505053e+01,-1.113761510232992613e+01,-2.944018753769984009e+00,3.850034295266147488e+00,0.000000000000000000e+00,-1.292735968789071244e+01,-1.960161554701973330e+01,-6.193865056422613868e+00
-9.269026875233066676e+00,-1.441626130062336841e+01,-1.424508247804943117e+01,-1.695447336504938818e+01,-1.018568576827641348e+00,-7.875571111782912581e+00,0.000000000000000000e+00,-1.175049166864101835e+01,-1.165696785537586067e+01,-2.536670086271692437e+00
-2.196052849223552528e+01,-8.885996425614953509e+00,-2.479416888483540049e+01,-5.437965416824874332e+00,-1.950950034104347086e+00,6.808264530531788594e+00,0.000000000000000000e+00,-1.593643479287223563e+01,-2.018548890431604192e+01,-5.028007006417775315e+00
-1.949413605269960215e+01,-1.584673578238086478e+01,-2.937122995820127969e+01,-7.969755632766805320e+00,-2.444438573699536654e+00,1.142114717808055735e+00,0.000000000000000000e+00,-1.559484864836683471e+01,-4.476312919711775251e+00,-1.160131381422609387e+01
-8.791322713940639133e+00,-1.897386204030918222e+01,-1.118394050786168847e+01,-1.736614199268221626e+01,-1.336034785251236201e+01,-8.455754103535774391e+00,0.000000000000000000e+00,-1.529973287888897104e+01,-1.564749222545130714e+01,-1.895828573379234072e+01
-1.463738268207715265e+01,-8.092431095215220083e+00,-2.484825507383618159e+01,-1.943456587248570955e+01,-9.930178243071416944e+00,-1.967201589011552620e+00,0.000000000000000000e+00,-1.033950160929002848e+01,-1.581805315155671821e+01,-8.394321170293922663e+00
-1.145832475978249754e+01,-1.782536420695900858e+01,-1.480384778390672196e+01,-2.360505723891264296e+01,-1.969064011745433973e+01,-8.379468697725211968e+00,0.000000000000000000e+00,-1.323193513566612900e+01,-1.506000268154560118e+01,-1.120645728169120581e+01
-2.748327243206168191e+01,-9.084121360977766457e+00,-2.586562133492567028e+01,-5.693340018842706129e+00,6.850901970282184728e+00,-1.650358505765948536e+01,0.000000000000000000e+00,-1.547443963785294230e+01,-1.539094464451918398e+01,-6.571409198313996392e+00
-2.648459753112339499e+01,2.808435534268093559e+00,-2.092000930841447115e+01,-4.893567914697965371e+00,-6.942077562333926366e+00,-9.463528371207866385e+00,0.000000000000000000e+00,-9.113317480640573010e+00,-1.162894033613360456e+01,-1.125749053157274737e+01
-2.284962562889168680e+01,1.956290564075559013e+00,-1.384122960693730953e+01,-2.366181958325334733e+01,-1.534681704608996355e+01,-2.454842595366570901e+00,0.000000000000000000e+00,3.571541833604604532e-01,-1.083235261300883501e+01,-8.430648419158094597e+00
-1.855152145518441387e+01,2.410796043558128599e+00,-1.246774625564309957e+01,-6.631955406687493060e-01,-2.350020972318444201e+00,-9.990992292750259240e-01,0.000000000000000000e+00,-1.386017453452119952e+01,-7.882439645095846714e+00,-8.768989176187025336e+00
-5.665199307642124760e-01,-3.597800737750245670e+00,-8.800493748562418617e+00,-6.337735490305860253e+00,-8.180085054581377690e+00,1.118359708892530335e+01,0.000000000000000000e+00,-1.859638870193552407e+01,-1.312095828354817684e+01,-5.838799085350030893e+00
7.615971434742927038e+00,-1.531028127570992048e+01,-8.494513379070401271e+00,-8.963764044460448943e+00,-2.982227856120373222e+00,1.070724833295358813e+01,0.000000000000000000e+00,-8.336258731455226112e+00,-7.782367030570009447e+00,-7.204507466448850650e+00
